Date,MICH,DRI YoY %,Gap (pp),Gap (z),Partisan Flag
2025-12-31,4.2,-1.1836303316092978,5.383630331609298,1.3276187827514874,1
2026-01-31,4.0,-4.914322271968697,8.914322271968697,1.7865452430328388,1
2026-02-28,3.4,-6.314602671213021,9.71460267121302,1.8305590588686866,1
2026-03-31,3.8,-4.8898739211499676,8.689873921149967,1.6261719912341355,1
