Date,Dead Reckoning Index,Official CPI
2020-01-01,99.99999999999999,100.0
2020-02-01,99.64801616188865,100.04746707213066
2020-03-01,99.11928943951007,99.594407375534
2020-04-01,97.6635679497898,98.80560497362296
2020-05-01,96.18408818358019,98.7168454078502
2020-06-01,97.81641768787803,99.19537524071207
2020-07-01,98.18225964305883,99.70091885446132
2020-08-01,98.62073212067381,100.07293720839587
2020-09-01,98.80574778460849,100.33574270531437
2020-10-01,99.1276031305953,100.46000609739627
2020-11-01,99.08589623423973,100.68846550147225
2020-12-01,100.03710334329116,101.12608875184755
2021-01-01,101.12507795431947,101.37384371370024
2021-02-01,102.20559255181863,101.71807646443636
2021-03-01,103.83664054494972,102.25140568138403
2021-04-01,105.77305341767165,102.88931682148134
2021-05-01,107.23997581462888,103.5719936556206
2021-06-01,108.74787609948302,104.44839788983779
2021-07-01,110.17262429555109,104.93040092309948
2021-08-01,111.1898701799004,105.22871024632707
2021-09-01,112.36033417053564,105.70492461225578
2021-10-01,114.36009735098784,106.72373006286493
2021-11-01,114.91074606217701,107.63795359032441
2021-12-01,115.32621095988662,108.38121847588249
2022-01-01,116.90630779456652,109.03649561797883
2022-02-01,118.43435687810575,109.79172374935841
2022-03-01,121.81205456691205,111.01660575702262
2022-04-01,126.85092010670763,111.35890895198106
2022-05-01,129.95224500012682,112.415147784677
2022-06-01,132.51011278982034,113.82719670277508
2022-07-01,132.87741513957604,113.81021661193161
2022-08-01,131.94332632197268,113.88122426454981
2022-09-01,130.7219543696051,114.36438503127808
2022-10-01,136.21945821767392,115.0042257271531
2022-11-01,137.13481509998815,115.3048505173139
2022-12-01,137.09449302620808,115.32260243046846
2023-01-01,137.04163139829313,115.93542934545609
2023-02-01,136.07133796963137,116.33291783565586
2023-03-01,134.57582457218902,116.4760908743589
2023-04-01,135.11761875060373,116.8712638976255
2023-05-01,134.5009895082459,117.0599744526815
2023-06-01,133.75101963885598,117.32239403844447
2023-07-01,135.62249911626688,117.55201117598706
2023-08-01,137.21394987293613,118.1204583080883
2023-09-01,137.33812187614006,118.58123622779564
2023-10-01,138.15409481479014,118.74331891311982
2023-11-01,137.39773047086902,118.91775075542108
2023-12-01,137.84517619678843,119.1465960706526
2024-01-01,135.61116092771042,119.51591304649843
2024-02-01,137.37423712842252,120.00563430287079
2024-03-01,138.5787518000469,120.53741987519632
2024-04-01,139.51908535264346,120.79906763864822
2024-05-01,139.16193048666292,120.85772613428935
2024-06-01,138.81143690381361,120.80717177291443
2024-07-01,139.59291026152803,121.00977512956968
2024-08-01,139.70678939810037,121.20002932924783
2024-09-01,140.58055651680525,121.45858980345545
2024-10-01,138.96968189613722,121.8055239322803
2024-11-01,139.46721261274925,122.15168623879411
2024-12-01,140.65790794179298,122.56692664214843
2025-01-01,144.5104559972892,123.09060808020777
2025-02-01,146.73131783987773,123.367692289881
2025-03-01,147.41457834351138,123.40859887236762
2025-04-01,144.7216325506419,123.60811493977857
2025-05-01,143.7307503551339,123.73083468723831
2025-06-01,142.237404013645,124.04535227899834
2025-07-01,141.51242507003317,124.32861106716011
2025-08-01,141.9905142554788,124.761603383669
2025-09-01,142.1348580456435,125.12976262604822
2025-10-01,137.05608813443337,125.12976262604822
2025-12-01,138.99303827958684,125.81899994983155
2026-01-01,137.4087464728909,126.03395246346388
2026-02-01,137.46581812405475,126.37046699108929
2026-03-01,140.20619132111884,127.46375329471648
2026-04-01,142.2118248893512,128.27956947751485
