Date,Divergence,Sentiment Z,Conditions Z
2023-12-31,0.8805249937367657,-0.5386826449705461,-1.4192076387073118
2024-01-31,0.49833152956843907,-0.7380597341195511,-1.2363912636879901
2024-02-29,0.6563442402344819,-0.6508331017611866,-1.3071773419956685
2024-03-31,0.576717704005625,-0.7600217012211525,-1.3367394052267776
2024-04-30,0.8589152483866744,-0.48063898811856703,-1.3395542365052415
2024-05-31,0.8862851005048795,-0.38936039046996757,-1.2756454909748471
2024-06-30,0.5053588025804625,-0.6968419791902347,-1.2022007817706972
2024-07-31,0.40444198474726534,-0.806033681640808,-1.2104756663880734
2024-08-31,0.27429198622340245,-0.9099570226430879,-1.1842490088664903
2024-09-30,0.1952999219331204,-1.0075421020510098,-1.2028420239841302
2024-10-31,0.03860638307794262,-1.0147548382018803,-1.053361221279823
2024-11-30,-0.0816326234864102,-1.11982184957524,-1.0381892260888297
2024-12-31,0.14401621800151465,-0.9350659903184616,-1.0790822083199763
2025-01-31,0.8421618635109132,-0.44200062701421144,-1.2841624905251245
2025-02-28,1.94538160563464,0.5689036669292593,-1.3764779387053807
2025-03-31,2.6468270481306697,1.2671983152530628,-1.379628732877607
2025-04-30,3.8422847012840053,2.6789968822639914,-1.163287819020014
2025-05-31,3.640963194824665,2.5737753660986606,-1.0671878287260046
2025-06-30,1.9353294905384892,0.9948329510731602,-0.940496539465329
2025-07-31,1.3611024860862004,0.4912653102486278,-0.8698371758375727
2025-08-31,1.6332804212992218,0.7558522366307497,-0.8774281846684722
2025-09-30,1.4901512735020033,0.6330761826039715,-0.8570750908980319
2025-10-31,1.2532073759312694,0.509853114328894,-0.7433542616023755
2025-11-30,0.20505393448516016,0.3866470606708072,0.18159312618564702
2025-12-31,0.5956962711609457,0.055324595980005664,-0.5403716751809401
2026-01-31,0.21650365303087304,-0.1714926390544435,-0.38799629208531655
2026-02-28,-0.4416002584332187,-0.8044402163838418,-0.36283995795062307
2026-03-31,0.19975163796532802,-0.39988573611111344,-0.5996373740764415
