date,divergence,sentiment_z,conditions_z,zone
2024-12-01,1.2063753748572523,0.0992140518428994,-1.1071613230143529,Mercury Rising / Hot Spend Summer
2025-01-01,1.2945188735416622,-0.003763113847236918,-1.298281987388899,Mercury Rising / Hot Spend Summer
2025-02-01,0.730600704772124,-0.6567139588210319,-1.387314663593156,Mercury Rising / Hot Spend Summer
2025-03-01,0.01656415567235192,-1.3680014585952296,-1.3845656142675815,Dead Calm / Nickel Lachey
2025-04-01,-0.7680633982713119,-1.9541148493301257,-1.1860514510588138,Mercury in Retrograde / Vibecession Szn
2025-05-01,-0.2394088175946829,-1.3355714167483046,-1.0961625991536217,Dead Calm / Nickel Lachey
2025-06-01,-0.07559921728581154,-1.0506241732476218,-0.9750249559618103,Dead Calm / Nickel Lachey
2025-07-01,0.126935229955076,-0.7760777483293776,-0.9030129782844536,Dead Calm / Nickel Lachey
2025-08-01,-0.07067822247954247,-0.9807359782740874,-0.910057755794545,Dead Calm / Nickel Lachey
2025-09-01,-0.39707562035237687,-1.2938180978571614,-0.8967424775047845,Dead Calm / Nickel Lachey
2025-10-01,-0.8070059231558793,-1.3248707979676722,-0.5178648748117929,Mercury in Retrograde / Vibecession Szn
2025-12-01,-0.9277215533560497,-1.5631636405515512,-0.6354420871955015,Mercury in Retrograde / Vibecession Szn
2026-01-01,-1.0583241115150468,-1.5494357650256492,-0.49111165351060226,Mercury in Retrograde / Vibecession Szn
2026-02-01,-0.7177952496081601,-1.1881389467589056,-0.47034369715074553,Mercury in Retrograde / Vibecession Szn
2026-03-01,-0.6389123553609295,-1.3172011361029563,-0.6782887807420268,Mercury in Retrograde / Vibecession Szn
