date,rent,food_at_home,gas,auto_insurance,cc_interest,dining_out,utilities,used_cars,eggs,home_insurance,quarterly_reserve,mortgage_payment,dri,cpi
1999-02-01,50.87213086821851,67.26595513139037,36.12991855558827,44.30973817926304,88.20359281437126,56.651345210056135,59.2705540936032,106.3661923341749,73.78507871321013,66.1813806189711,,68.79004398144073,54.49958142270202,63.55956731641241
1999-03-01,50.95924068134904,67.10169150469589,38.543813168482,44.34469655258001,88.62275449101797,56.78968793340181,59.221366911782795,105.7206793665366,68.78850102669404,66.24749588432474,,69.28639928747604,54.661321025556774,63.59815843196579
1999-04-01,51.075387098856396,67.18382331804312,44.392110685899326,44.22234224597061,89.04191616766467,56.89344497591108,59.12299254814195,106.3661923341749,64.47638603696097,66.31361114967834,,69.78275459351136,55.29065406548751,64.02266070305295
1999-05-01,51.220570120740575,67.3480869447376,44.376410558335785,44.204863059312125,89.46107784431138,56.92803065674749,59.02461818450112,107.29859995409686,61.601642710472284,66.44584168038558,,71.55957235560892,55.524652782036306,64.06125181860631
1999-06-01,51.33671653824792,67.307021038064,43.73466784417624,44.29225899260455,89.18163672654691,56.92803065674749,59.02461818450112,108.23100757401882,64.9555099247091,67.56980119139709,,73.3363901177065,55.85119731946666,64.06125181860631
1999-07-01,51.452862955755265,67.307021038064,45.43224413698362,44.379654925896986,88.90219560878243,57.10095906092959,59.17217972996237,109.2351388570117,60.232717316906225,67.50368592604346,,75.11320787980405,56.157177188590154,64.33138962747995
1999-08-01,51.56900937326261,67.38915285141123,47.916789323913264,44.449571672530936,88.62275449101797,57.27388746511169,59.46730282088488,110.31099380307552,69.81519507186859,67.56980119139709,,76.64710775877802,56.99722634121906,64.48575408969347
1999-09-01,51.68515579076997,67.63554829145295,49.27877539005005,44.50200923250639,88.58283433133732,57.34305882678454,60.00836182090947,111.67374340142298,65.43463381245721,67.6359164567507,,78.18100763775199,57.32144630835232,64.75589189856711
1999-10-01,51.83033881265414,67.79981191814744,48.83720930232559,44.414613299213954,88.54291417165669,57.48140155013021,60.1067361845503,112.17580904291944,60.78028747433265,67.56980119139709,,79.71490751672596,57.38051506031474,64.87166524522723
1999-11-01,51.91744862578466,67.9230096381683,49.1178490825238,44.449571672530936,88.50299401197604,57.58515859263947,60.15592336637072,111.96063805370666,62.97056810403833,67.50368592604346,,80.63247283955035,57.61907958808836,64.98743859188738
1999-12-01,52.17877806517618,67.96407554484192,49.94603081150035,44.536967605823364,87.54491017964072,57.68891563514874,59.71323872998696,111.17167775992655,62.97056810403833,67.56980119139709,,81.55003816237473,57.77683964289405,65.14180305410089
