date,mich,dri_yoy_pct,gap_pp,gap_z,partisan_flag
2005-01-31,2.9,4.780112105759349,-1.8801121057593488,-0.5932969810629461,0
2005-02-28,2.9,4.980642540090585,-2.0806425400905852,-0.7015250669590933,0
2005-03-31,3.2,4.803652349740162,-1.6036523497401616,-0.5343696399708856,0
2005-04-30,3.3,5.888038888567837,-2.588038888567837,-0.9670119225988492,0
2005-05-31,3.2,4.604622464864683,-1.4046224648646826,-0.47385440215696845,0
2005-06-30,3.2,4.458265752656199,-1.2582657526561984,-0.44302929558138876,0
2005-07-31,3.0,5.773561653360204,-2.773561653360204,-1.1414999563742578,1
2005-08-31,3.1,7.202897872340763,-4.102897872340764,-1.6961463915000683,1
2005-09-30,4.3,10.87213149009727,-6.572131490097271,-2.6110962895576435,1
2005-10-31,4.6,9.068442663586417,-4.468442663586417,-1.671469877081478,1
2005-11-30,3.3,6.244137709420627,-2.9441377094206276,-1.0231529188571182,1
2005-12-31,3.1,6.464968118896408,-3.364968118896408,-1.1605886084296526,1
2006-01-31,3.0,7.851180596037022,-4.851180596037022,-1.6844362701230142,1
2006-02-28,3.0,6.370724424383156,-3.3707244243831562,-1.0672329787090367,1
2006-03-31,3.0,6.53598226593215,-3.53598226593215,-1.0941647261728233,1
2006-04-30,3.3,6.962217318414843,-3.662217318414843,-1.1095611412837674,1
2006-05-31,4.0,7.984573620484214,-3.9845736204842144,-1.1955329181753191,1
2006-06-30,3.3,8.143817229931072,-4.843817229931072,-1.464084212738192,1
2006-07-31,3.2,7.5124543191599,-4.3124543191599,-1.2248353082806396,1
2006-08-31,3.8,5.78262496961508,-1.9826249696150802,-0.32413917609414417,0
2006-09-30,3.1,0.3838460730848148,2.7161539269151853,1.4819644381918162,1
2006-10-31,3.1,-0.7851811494153038,3.885181149415304,1.9103009599749516,1
2006-11-30,3.0,2.16018844525796,0.83981155474204,0.7678480295174422,0
2006-12-31,2.9,3.432664707689703,-0.5326647076897033,0.27067572206264645,0
2007-01-31,3.0,1.8603964091046699,1.1396035908953301,0.9491334286261005,0
2007-02-28,3.0,2.898108715222758,0.10189128477724196,0.5651769074537651,0
2007-03-31,3.0,2.935485161005391,0.06451483899460886,0.5738821988965405,0
2007-04-30,3.3,2.1731448327310554,1.1268551672689444,1.0442784324051122,1
2007-05-31,3.3,3.1021112598791145,0.1978887401208853,0.7091645814776996,0
2007-06-30,3.4,2.877004511865233,0.5229954881347667,0.92246175456606,0
2007-07-31,3.4,2.783579782468437,0.6164202175315627,1.0047036614276552,1
2007-08-31,3.2,2.1534967372471625,1.0465032627528377,1.234373200606811,1
2007-09-30,3.1,4.6435927719353565,-1.5435927719353564,0.025430904834354836,0
2007-10-31,3.1,6.059967950568934,-2.959967950568934,-0.6481556704077839,0
2007-11-30,3.4,6.947639068906497,-3.547639068906497,-0.9078167262109321,0
2007-12-31,3.4,5.663683657575902,-2.263683657575902,-0.2580379312381262,0
2008-01-31,3.4,5.8653802716073455,-2.4653802716073456,-0.3357163734447154,0
2008-02-29,3.6,5.334989506834664,-1.7349895068346641,0.04058503342268577,0
2008-03-31,4.3,5.725292653639169,-1.4252926536391692,0.20718885825661312,0
2008-04-30,4.8,5.6474490489781815,-0.8474490489781816,0.5234146479294599,0
2008-05-31,5.2,5.450615629180255,-0.25061562918025526,0.8479879213059796,0
2008-06-30,5.1,7.631563687212539,-2.5315636872125395,-0.31982534588385175,0
2008-07-31,5.1,8.058613142457883,-2.9586131424578834,-0.5250308002215277,0
2008-08-31,4.8,6.629632095744364,-1.8296320957443646,0.06676759302930713,0
2008-09-30,4.3,5.915117164728745,-1.615117164728745,0.17944004796743457,0
